"Time (s)","Angular velocity x (rad/s)","Angular velocity y (rad/s)","Angular velocity z (rad/s)"
3.200000000E0,-9.028116061E-2,9.587379888E-3,-2.290318529E-2
3.300000000E0,-7.869640991E-2,2.556634637E-2,-2.010686615E-2
3.400000000E0,-4.660531890E-2,2.290318529E-2,-1.544633426E-2
3.500000000E0,3.315635545E-2,1.677791480E-2,6.125270484E-3
3.600000000E0,9.281116364E-2,1.331580540E-2,-1.025317016E-2
3.700000000E0,2.177134183E-1,2.476739804E-2,1.597896648E-3
3.800000000E0,2.834934970E-1,1.744370507E-2,-8.122641294E-3
3.900000000E0,3.760383445E-1,2.383529167E-2,6.258428538E-3
4.000000000E0,4.121241771E-1,2.902845577E-2,-4.394215782E-3
4.100000000E0,4.314320950E-1,3.675162290E-2,-1.491370205E-2
4.200000000E0,4.355599946E-1,3.635214874E-2,-5.060006052E-3
4.300000000E0,4.146541802E-1,3.209109101E-2,-1.651159870E-2
4.400000000E0,3.629888552E-1,2.743055912E-2,-7.323692970E-3
4.500000000E0,2.910835060E-1,3.688478096E-2,-3.728425512E-3
4.600000000E0,2.238386888E-1,3.328951350E-2,2.143844669E-2
4.700000000E0,1.129180298E-1,2.490055610E-2,-1.731054702E-2
4.800000000E0,3.781688734E-2,3.235740712E-2,-2.556634637E-2
4.900000000E0,1.890844367E-2,2.383529167E-2,-7.989483240E-4
5.000000000E0,-2.343581750E-2,2.663161080E-2,5.326322160E-3
5.100000000E0,-4.301005144E-2,3.235740712E-2,-9.986854050E-3
5.200000000E0,-4.127899674E-2,3.608583263E-2,-2.170476280E-2
5.300000000E0,2.503371415E-2,2.197107891E-2,3.861583566E-3
5.400000000E0,6.431534008E-2,2.902845577E-2,3.994741620E-3
5.500000000E0,1.270327835E-1,3.049319437E-2,-5.992112430E-3
5.600000000E0,2.078597223E-1,2.343581750E-2,1.478054399E-2
5.700000000E0,2.906840319E-1,2.356897556E-2,-1.344896345E-2
5.800000000E0,3.716441287E-1,1.930791783E-2,1.597896648E-2
5.900000000E0,4.082625936E-1,1.571265037E-2,4.394215782E-3
6.000000000E0,4.526042255E-1,2.303634334E-2,1.131843459E-2
6.100000000E0,4.535363319E-1,1.904160172E-2,7.723167132E-3
6.200000000E0,4.332963077E-1,2.503371415E-2,1.318264735E-2
6.300000000E0,3.881557274E-1,1.331580540E-2,-1.864212756E-2
6.400000000E0,3.431483052E-1,2.569950442E-2,-1.997370810E-3
6.500000000E0,2.808303359E-1,1.917475978E-2,-9.986854050E-3
6.600000000E0,2.299639593E-1,2.277002723E-2,8.655273510E-3
6.700000000E0,1.664475675E-1,2.290318529E-2,-5.326322160E-3
6.800000000E0,1.013332791E-1,3.075951047E-2,-3.062635242E-3
6.900000000E0,4.234426117E-2,3.462109404E-2,-2.263686918E-2
7.000000000E0,3.994741620E-4,2.649845275E-2,-1.504686010E-2
7.100000000E0,1.384843762E-2,2.090581448E-2,1.731054702E-2
7.200000000E0,1.185106681E-2,1.691107286E-2,-9.986854050E-3
7.300000000E0,2.503371415E-2,1.451422789E-2,5.326322160E-3
7.400000000E0,7.030745251E-2,1.824265340E-2,-3.994741620E-3
7.500000000E0,1.103880268E-1,1.624528259E-2,-1.371527956E-2
7.600000000E0,1.753691571E-1,1.784317924E-2,1.038632821E-2
7.700000000E0,2.330265945E-1,1.744370507E-2,1.864212756E-3
7.800000000E0,2.881540289E-1,1.198422486E-2,-1.198422486E-2
7.900000000E0,3.331614511E-1,1.691107286E-2,-1.398159567E-2
8.000000000E0,3.949467882E-1,2.170476280E-2,9.986854050E-3
8.100000000E0,4.458131648E-1,2.210423696E-2,1.118527654E-2
8.200000000E0,4.490089581E-1,2.383529167E-2,-8.921589618E-3
8.300000000E0,4.467452712E-1,1.478054399E-2,-8.788431564E-3
8.400000000E0,4.233094537E-1,2.303634334E-2,-7.190534916E-3
8.500000000E0,4.067978550E-1,2.303634334E-2,1.731054702E-3
8.600000000E0,3.681820193E-1,3.182477491E-2,1.091896043E-2
8.700000000E0,3.021356245E-1,2.889529772E-2,-7.590009078E-3
8.800000000E0,2.560629378E-1,2.303634334E-2,-8.921589618E-3
8.900000000E0,2.038649807E-1,2.183792086E-2,-5.326322160E-4
9.000000000E0,1.700428350E-1,2.170476280E-2,1.597896648E-3
9.100000000E0,1.327585798E-1,1.664475675E-2,-4.394215782E-3
9.200000000E0,1.114532912E-1,3.315635545E-2,-2.263686918E-3
9.300000000E0,8.588694483E-2,3.075951047E-2,-1.278317318E-2
9.400000000E0,6.657902700E-2,2.902845577E-2,-3.595267458E-3
9.500000000E0,5.459480214E-2,3.036003631E-2,1.038632821E-2
9.600000000E0,6.151902095E-2,3.129214269E-2,9.321063780E-4
9.700000000E0,7.976167435E-2,2.423476583E-2,5.060006052E-3
9.800000000E0,1.146490845E-1,2.450108194E-2,9.054747672E-3
9.900000000E0,1.443433305E-1,2.503371415E-2,-1.731054702E-3
1.000000000E1,2.046639290E-1,2.117213059E-2,9.054747672E-3
1.010000000E1,2.709766399E-1,2.822950745E-2,-7.989483240E-4
1.020000000E1,3.307646061E-1,1.531317621E-2,-7.856325186E-3
1.030000000E1,3.621899069E-1,2.263686918E-2,2.130528864E-3
1.040000000E1,3.829625633E-1,2.530003026E-2,-2.796319134E-3
1.050000000E1,4.159857607E-1,2.836266550E-2,-1.597896648E-3
1.060000000E1,4.444815843E-1,1.784317924E-2,7.856325186E-3
1.070000000E1,4.645884504E-1,2.090581448E-2,5.459480214E-3
1.080000000E1,4.510063289E-1,2.077265642E-2,2.530003026E-3
1.090000000E1,4.428836876E-1,2.956108799E-2,3.728425512E-3
1.100000000E1,4.157194446E-1,1.970739199E-2,1.597896648E-3
1.110000000E1,3.969441590E-1,1.371527956E-2,-1.038632821E-2
1.120000000E1,3.581951653E-1,1.917475978E-2,1.065264432E-3
1.130000000E1,3.234409132E-1,1.571265037E-2,-4.660531890E-3
1.140000000E1,2.920156124E-1,1.877528561E-2,4.660531890E-3
1.150000000E1,2.557966217E-1,2.490055610E-2,-1.145159264E-2
1.160000000E1,2.238386888E-1,1.424791178E-2,-6.924218808E-3
1.170000000E1,1.962749716E-1,1.238369902E-2,4.261057728E-3
1.180000000E1,1.723065219E-1,3.115898464E-2,3.328951350E-3
1.190000000E1,1.424791178E-1,3.195793296E-2,-8.655273510E-3
1.200000000E1,1.354217409E-1,2.543318831E-2,6.125270484E-3
1.210000000E1,1.315601574E-1,1.464738594E-2,-1.038632821E-2
1.220000000E1,1.339570023E-1,2.636529469E-2,-8.788431564E-3
1.230000000E1,1.470064916E-1,3.075951047E-2,-7.989483240E-4
1.240000000E1,1.533980782E-1,3.728425512E-2,-1.131843459E-2
1.250000000E1,1.824265340E-1,3.635214874E-2,-3.462109404E-3
1.260000000E1,2.034655065E-1,2.649845275E-2,0.000000000E0
1.270000000E1,2.526008284E-1,2.623213664E-2,7.989483240E-3
1.280000000E1,2.715092721E-1,1.637844064E-2,2.663161080E-4
1.290000000E1,3.047987856E-1,1.464738594E-2,1.597896648E-3
1.300000000E1,3.418167246E-1,1.571265037E-2,4.660531890E-3
1.310000000E1,3.767041348E-1,1.185106681E-2,-1.464738594E-3
1.320000000E1,3.921504690E-1,1.118527654E-2,-9.321063780E-3
1.330000000E1,4.246410342E-1,3.182477491E-2,0.000000000E0
1.340000000E1,4.492752742E-1,1.291633124E-2,1.331580540E-3
1.350000000E1,4.580637058E-1,8.388957402E-3,2.663161080E-4
1.360000000E1,4.636563440E-1,1.504686010E-2,-5.326322160E-4
1.370000000E1,4.669852954E-1,2.024002421E-2,2.663161080E-4
1.380000000E1,4.640558182E-1,2.609897858E-2,-3.994741620E-3
1.390000000E1,4.484763259E-1,2.277002723E-2,2.929477188E-3
1.400000000E1,4.347610463E-1,2.223739502E-2,-3.328951350E-3
1.410000000E1,4.107925966E-1,1.651159870E-2,-1.145159264E-2
1.420000000E1,3.954794204E-1,2.024002421E-2,2.530003026E-3
1.430000000E1,3.531351592E-1,1.944107588E-2,-1.677791480E-2
1.440000000E1,3.390204055E-1,2.530003026E-2,-8.255799348E-3
1.450000000E1,3.205114360E-1,2.130528864E-2,-7.989483240E-4
1.460000000E1,2.964098282E-1,2.303634334E-2,1.198422486E-3
1.470000000E1,2.649845275E-1,1.491370205E-2,-2.663161080E-3
1.480000000E1,2.535329348E-1,2.583266248E-2,-5.992112430E-3
1.490000000E1,2.324939623E-1,3.275688128E-2,-9.454221834E-3
1.500000000E1,2.193113149E-1,2.356897556E-2,-1.278317318E-2
1.510000000E1,2.195776310E-1,1.904160172E-2,-9.853695996E-3
1.520000000E1,2.153165733E-1,2.197107891E-2,-4.660531890E-3
1.530000000E1,2.091913028E-1,1.384843762E-2,-5.725796322E-3
1.540000000E1,2.243713210E-1,2.796319134E-2,-8.388957402E-3
1.550000000E1,2.284992207E-1,2.463423999E-2,2.929477188E-3
1.560000000E1,2.492718771E-1,3.049319437E-2,7.590009078E-3
1.570000000E1,2.696450594E-1,2.410160777E-2,-3.728425512E-3
1.580000000E1,2.741724332E-1,2.316950140E-2,-6.657902700E-4
1.590000000E1,2.932140349E-1,3.422161988E-2,-3.462109404E-3
1.600000000E1,3.110572141E-1,3.608583263E-2,2.663161080E-3
1.610000000E1,3.664509646E-1,1.544633426E-2,-1.145159264E-2
